"bråk (bråket, bråk, bråken)","argument (noun)"
"dansmusik (dansmusiken)","dance music"
"pronomen (pronomenet, pronomen, pronomenen)","pronoun"
"designpryl (designprylen, designprylar, designprylarna)","design object"
"pryl (prylen, prylar, prylarna)","thing (gadget)"
"dialog (dialogen, dialoger, dialogerna)","dialogue"
"doftljus (doftljuset, doftljus, doftljusen)","scented candle"
"ljus (ljuset, ljus, ljusen)","light (noun)"
"dokumentär (dokumentären, dokumentärer, dokumentärerna)","documentary"
"drama (dramat, dramer, dramerna)","drama"
"duva (duvan, duvor, duvorna)","dove"
"elev (eleven, elever, eleverna)","student"
"genre (genren, genrer, genrerna)","genre"
"hem (hemmet, hem, hemmen)","home (noun)"
"husdjur (husdjuret, husdjur, husdjuren)","pet (animal)"
"intervju (intervjun, intervjuer, intervjuerna)","interview (noun)"
"jordgubbslukt (jordgubbslukten)","strawberry smell"
"lukt (lukten, lukter, lukterna)","smell (noun)"
"nutid (nutiden)","present (time)"
"kafé (kaféet, kaféer, kaféerna)","café"
"kaféägare (kaféägaren, kaféägare, kaféägarna)","café owner"
"karaoke (karaoken)","karaoke"
"konst (konsten)","art (noun)"
"tomat (tomaten, tomater, tomaterna)","tomato"
"krukväxt (krukväxten, krukväxter, krukväxterna)","potted plant"
"kök (köket, kök, köken)","kitchen"
"köksgrej (köksgrejen, köksgrejer, köksgrejerna)","kitchen utensil"
"körsbärstomat (körsbärstomaten, körsbärstomater, körsbärstomatena)","cherry tomato"
"land (landet, länder, länderna)","country"
"lego (legot)","Lego"
"pojke (pojken, pojkar, pojkarna)","boy"
"liv (livet, liv, liven)","life"
"luktsuddgummi (luktsuddgummit, suddgummin, suddgummina)","scented eraser"
"lärare (läraren, lärare, lärarna)","teacher"
"middag (middagen, middagar, middagarna)","dinner"
"morsdag (morsdagen, morsdagar, morsdagarna)","Mother's Day"
"nachos (nachosen)","nachos"
"sätt (sättet, sätt, sätten)","way (method)"
"dag (dagen, dagar, dagarna)","day"
"ord (ordet, ord, orden)","word"
"politik (politiken)","politics"
"pommes frites (pommes fritesen)","french fries"
"presens (presenset)","present (tense)"
"presentation (presentationen, presentationer, presentationerna)","presentation"
"rea (rean, reor, reorna)","sale (discount)"
"retroflex (retroflexen, retroflexer, retroflexerna)","retroflex"
"rivstart (rivstarten, rivstarter, rivstarterna)","flying start"
"ruta (rutan, rutor, rutorna)","square (box)"
"rysare (rysaren, rysare, rysarna)","thriller (movie/book)"
"science fiction (science fictionen)","science fiction"
"plan (planen, planer, planerna)","plan (noun)"
"serie (serien, serier, serierna)","series"
"shopping (shoppingen)","shopping"
"sida (sidan, sidor, sidorna)","page (side)"
"skorpa (skorpan, skorpor, skorporna)","rusk (biscotti)"
"sneakers (sneakersen)","sneakers"
"sommarkläder (sommarkläderna)","summer clothes"
"språk (språket, språk, språken)","language"
"startup (startupen, startuper, startuperna)","startup"
"suddgummi (suddgummit, suddgummin, suddgummina)","eraser"
"buss (bussen, bussar, bussarna)","bus"
"thaimat (thaimaten)","Thai food"
"träning (träningen, träningar, träningarna)","training (workout)"
"träningskläder (träningskläderna)","workout clothes"
"uppgift (uppgiften, uppgifter, uppgifterna)","task (assignment)"
"vanilj (vaniljen)","vanilla"
"blomma (blomman, blommor, blommorna)","flower"
"väder (vädret, väder, vädren)","weather"
"öppet köp (öppna köpet)","return policy"

"kropp (kroppen, kroppar, kropparna)","body"
"huvud (huvudet, huvuden, huvudena)","head"
"hår (håret)","hair"
"öga (ögat, ögon, ögonen)","eye"
"näsa (näsan, näsor, näsorna)","nose"
"mun (munnen, munnar, munnarna)","mouth"
"öra (örat, öron, öronen)","ear"
"hals (halsen, halsar, halsarna)","neck"
"arm (armen, armar, armarna)","arm"
"hand (handen, händer, händerna)","hand"
"finger (fingret, fingrar, fingrarna)","finger"
"ben (benet, ben, benen)","leg / bone"
"fot (foten, fötter, fötterna)","foot"
"tå (tån, tår, tårna)","toe"

"äpple (äpplet, äpplen, äpplena)","apple"
"banan (bananen, bananer, bananerna)","banana"
"apelsin (apelsinen, apelsiner, apelsinerna)","orange"
"citron (citronen, citroner, citronerna)","lemon"
"päron (päronet, päron, päronen)","pear"
"vindruva (vindruvan, vindruvor, vindruvorna)","grape"
"jordgubbe (jordgubben, jordgubbar, jordgubbarna)","strawberry"
"hallon (hallonet, hallon, hallonen)","raspberry"
"morot (moroten, morötter, morötterna)","carrot"
"potatis (potatisen, potatisar, potatisarna)","potato"
"lök (löken, lökar, lökarna)","onion"
"tomat (tomaten, tomater, tomaterna)","tomato"
"gurka (gurkan, gurkor, gurkorna)","cucumber"
"sallad (salladen, sallader, salladerna)","lettuce / salad"
"blomkål (blomkålen, blomkålar, blomkålarna)","cauliflower"
"spenat (spenaten, spenater, spenaterna)","spinach"
"ärt (ärtan, ärtor, ärtorna)","pea"
"vitlök (vitlöken, vitlökar, vitlökarna)","garlic"
"aubergine (auberginen, auberginer, auberginerna)","eggplant (noun)"
"pumpa (pumpan, pumpor, pumporna)","pumpkin"
