"att bråka (bråkar, bråkade, har bråkat)","to argue / quarrel"
"att dansa (dansar, dansade, har dansat)","to dance"
"att flytta (flyttar, flyttade, har flyttat)","to move (residence / an object)"
"att forska (forskar, forskade, har forskat)","to research"
"att gå (går, gick, har gått)","to walk / go (by foot)"
"att handla (handlar, handlade, har handlat)","to deal with / to shop"
"att intervjua (intervjuar, intervjuade, har intervjuat)","to interview"
"att markera (markerar, markerade, har markerat)","to mark"
"att plugga (pluggar, pluggade, har pluggat)","to study (informal)"
"att prata (pratar, pratade, har pratat)","to talk / chat"
"att ringa in (ringer, ringde, har ringt)","to circle"
"att sitta (sitter, satt, har suttit)","to sit"
"att ska (ska, skulle, har skolat)","will / would (modal verb)"
"att springa (springer, sprang, har sprungit)","to run"
"att tala (talar, talade, har talat)","to speak"
"att titta på (tittar, tittade, har tittat)","to watch"
"att vakna (vaknar, vaknade, har vaknat)","to wake up"
"att öppna (öppnar, öppnade, har öppnat)","to open"
